tag,engine,file,text,audio_s,proc_s,rtf
L2,whisper,clean/heavy/con_004_pro_004.wav,所谓的熬夜就是晚睡晚醒,4.84,0.65,0.134
L2,whisper,clean/heavy/con_005_pro_005.wav,我都觉得碗碎碗我是标碗碎碗,2.75,0.74,0.268
L2,whisper,clean/heavy/con_006_pro_006.wav,宝贝节礼完事完事,2.57,0.59,0.229
L2,whisper,clean/heavy/con_007_pro_007.wav,因为你可以早上上班的时间必定绝望,2.89,0.65,0.224
L2,whisper,clean/heavy/con_008_pro_008.wav,因为你可以为了身体健康业务啊,2.91,0.65,0.222
L2,whisper,clean/heavy/con_009_pro_009.wav,让你个人的生活空间必定也就这么低,3.54,0.66,0.187
L2,whisper,clean/heavy/con_010_pro_010.wav,,3.49,0.67,0.193
L2,whisper,clean/heavy/con_011_pro_011.wav,你没有多两个小时但是你自己两个小时十年,4.21,0.80,0.190
L2,whisper,clean/light/con_001_pro_001.wav,它让你在那个时间段拥有的乳房是药那它是怎么缓解我们的空虚的,5.94,0.94,0.159
L2,whisper,clean/light/con_002_pro_002.wav,哪怕这个字体是一个刷抖音的字体没问题没问题先不着急,3.83,0.80,0.210
L2,whisper,clean/light/con_003_pro_003.wav,因为有一个前提性的问题没有讨论,3.91,0.61,0.156
L2,whisper,clean/light/con_004_pro_004.wav,其实部落分也是一种要求没有在讲的熬夜所谓的熬夜就是晚睡晚醒是吧,5.79,1.02,0.176
L2,whisper,clean/light/con_005_pro_005.wav,我觉得晚睡晚起早我先聊晚睡晚起,3.83,0.63,0.165
L2,whisper,clean/light/con_006_pro_006.wav,好 没问题 既然你是晚睡晚起,3.60,0.63,0.174
L2,whisper,clean/light/con_007_pro_007.wav,因为你可以早睡早起上班的时间必定也晚,3.67,0.72,0.196
L2,whisper,clean/light/con_008_pro_008.wav,因为你可以为了身体健康我的一旦下班的时间一定结完,3.73,0.78,0.210
L2,whisper,clean/light/con_009_pro_009.wav,那你个人的生活空间必定也就这么低,4.23,0.71,0.167
L2,whisper,clean/light/con_010_pro_010.wav,"哦,不太一致,我可以给你解释你想要多出额外的时间来过自己",4.69,0.94,0.201
L2,whisper,clean/light/con_011_pro_011.wav,你没有多两个小时但是你自己是不是一样的吗我给你两点睡十点起,5.71,1.09,0.191
L2,whisper,clean/no/con_001_pro_001.wav,它让你在那个时间段里拥有了自己比方是药那它是怎么缓解我们的空虚的,6.87,1.17,0.170
L2,whisper,clean/no/con_002_pro_002.wav,哪怕这个自己是一个刷抖音的自己没问题没问题先不着急,4.22,0.79,0.188
L2,whisper,clean/no/con_003_pro_003.wav,因为有一个前提性的问题没有讨论,4.48,0.74,0.165
L2,whisper,clean/no/con_004_pro_004.wav,其实部落分也是一种医药其实在讲的熬夜所谓的熬夜就是晚睡晚醒是吧,6.35,1.06,0.167
L2,whisper,clean/no/con_005_pro_005.wav,好 我先聊晚睡晚起,4.48,0.61,0.136
L2,whisper,clean/no/con_006_pro_006.wav,晚睡早起也是早夜既然你是晚睡晚起,4.22,0.68,0.160
L2,whisper,clean/no/con_007_pro_007.wav,因为你可以早睡早醒上班的时间必定也晚,4.14,0.72,0.173
L2,whisper,clean/no/con_008_pro_008.wav,因为你可以为了身体健康下班的时间一定绝望,4.22,0.77,0.182
L2,whisper,clean/no/con_009_pro_009.wav,那你个人的生活空间必定也就这么低,4.65,0.76,0.163
L2,whisper,clean/no/con_010_pro_010.wav,不太一致我可以给你解释你是怎么多出额外的时间来做自己的工作,5.42,1.01,0.186
L2,whisper,clean/no/con_011_pro_011.wav,你没有多两个小时但是你自己的是不是一样的吗我可以给你解释我的意思是两点睡十点起,6.61,1.04,0.157
L2,whisper,white_0dB/heavy/con_001_pro_001.wav,它是在那一旁谁知道它是多远的,4.39,0.70,0.160
L2,whisper,white_0dB/heavy/con_002_pro_002.wav,,3.18,0.73,0.229
L2,whisper,white_0dB/heavy/con_003_pro_003.wav,因为有一个前期听见问题没有讨论,2.96,0.65,0.221
L2,whisper,white_0dB/heavy/con_004_pro_004.wav,不过我跟你们讲的熬夜所谓的熬夜就是晚睡晚醒,4.84,0.83,0.172
L2,whisper,white_0dB/heavy/con_005_pro_005.wav,你知道我買廢物要買廢物,2.75,0.62,0.224
L2,whisper,white_0dB/heavy/con_006_pro_006.wav,,2.57,0.54,0.208
L2,whisper,white_0dB/heavy/con_007_pro_007.wav,"因为你可以等税完的时间,毕竟你比较网络",2.89,0.79,0.272
L2,whisper,white_0dB/heavy/con_008_pro_008.wav,,2.91,0.82,0.281
L2,whisper,white_0dB/heavy/con_009_pro_009.wav,两个人的生活空间毕竟也就这么紧,3.54,0.74,0.209
L2,whisper,white_0dB/heavy/con_010_pro_010.wav,好 开始1 2 3,3.49,3.04,0.873
L2,whisper,white_0dB/heavy/con_011_pro_011.wav,,4.21,10.25,2.437
L2,whisper,white_0dB/light/con_001_pro_001.wav,他让你在那个时间算拥有的地方是要那他是怎么换的,5.94,0.94,0.159
L2,whisper,white_0dB/light/con_002_pro_002.wav,哪怕你发抖没问题没问题听不着,3.83,0.69,0.181
L2,whisper,white_0dB/light/con_003_pro_003.wav,因为有一个前期的问题没有炒歌,3.91,0.65,0.165
L2,whisper,white_0dB/light/con_004_pro_004.wav,我们在讲的熬夜所谓的熬夜就是晚睡晚起,5.79,0.77,0.132
L2,whisper,white_0dB/light/con_005_pro_005.wav,晚睡晚起我先表晚睡晚起,3.83,0.63,0.164
L2,whisper,white_0dB/light/con_006_pro_006.wav,保密手機沒問題顯示碗是碗,3.60,0.66,0.184
L2,whisper,white_0dB/light/con_007_pro_007.wav,因为你可以保费上班的时间给你留网,3.67,0.61,0.167
L2,whisper,white_0dB/light/con_008_pro_008.wav,那你负责那你负责那你负责,3.73,0.80,0.216
L2,whisper,white_0dB/light/con_009_pro_009.wav,那你个人的生活风险也就是问题,4.23,0.61,0.143
L2,whisper,white_0dB/light/con_010_pro_010.wav,"哦,不太一致,我可以提供一些国外的体检来处理",4.69,0.81,0.172
L2,whisper,white_0dB/light/con_011_pro_011.wav,你給我多兩秒 三秒我已經是兩點 所以十點,5.71,0.75,0.132
L2,whisper,white_0dB/no/con_001_pro_001.wav,他让你在那个时间段拥有的物品比方是药那它是怎么管理我们的工具呢,6.87,0.93,0.136
L2,whisper,white_0dB/no/con_002_pro_002.wav,打牌刷走没问题先不着急,4.22,0.71,0.167
L2,whisper,white_0dB/no/con_003_pro_003.wav,因為有一個前置性的問題沒有討論,4.48,0.66,0.148
L2,whisper,white_0dB/no/con_004_pro_004.wav,就像熬夜所谓的熬夜就是晚睡晚醒,6.35,0.66,0.105
L2,whisper,white_0dB/no/con_005_pro_005.wav,我写到晚睡晚醒好 我先表晚睡晚醒,4.48,0.70,0.156
L2,whisper,white_0dB/no/con_006_pro_006.wav,宝贝脑子也没问题简直玩是玩,4.22,0.72,0.170
L2,whisper,white_0dB/no/con_007_pro_007.wav,因为你可以早睡早起上班的时间比你绝望,4.14,0.67,0.162
L2,whisper,white_0dB/no/con_008_pro_008.wav,因为你可以被我吹死我们今天下半段时间继续节望,4.22,0.81,0.193
L2,whisper,white_0dB/no/con_009_pro_009.wav,那你个人的生活空间一定也就这么简单,4.65,0.70,0.150
L2,whisper,white_0dB/no/con_010_pro_010.wav,哦 不太一致 我可以給你指揮一下你是怎麼出出國外的時間來做指揮,5.42,0.91,0.168
L2,whisper,white_0dB/no/con_011_pro_011.wav,你没有多两个小时三个小时有什么你不要的吗我给你我又是两点睡十点睡,6.61,1.10,0.166
L2,whisper,white_5dB/heavy/con_001_pro_001.wav,它让你在那种时间段它是通远的,4.39,0.65,0.147
L2,whisper,white_5dB/heavy/con_002_pro_002.wav,,3.18,0.63,0.197
L2,whisper,white_5dB/heavy/con_003_pro_003.wav,因为有一个闲情的问题没有讨论,2.96,0.66,0.223
L2,whisper,white_5dB/heavy/con_004_pro_004.wav,我们应该讲的熬夜所谓的熬夜就是晚睡晚醒,4.84,0.78,0.160
L2,whisper,white_5dB/heavy/con_005_pro_005.wav,我觉得晚睡蛮好,2.75,4.56,1.654
L2,whisper,white_5dB/heavy/con_006_pro_006.wav,,2.57,0.49,0.192
L2,whisper,white_5dB/heavy/con_007_pro_007.wav,因为你可以早上买的纤笔给你写网,2.89,0.68,0.236
L2,whisper,white_5dB/heavy/con_008_pro_008.wav,那你可以被我吹哨了你以为别玩,2.91,0.70,0.241
L2,whisper,white_5dB/heavy/con_009_pro_009.wav,两个人的生活空间第一也就是问题,3.54,0.61,0.171
L2,whisper,white_5dB/heavy/con_010_pro_010.wav,好 太多了好 来 来 来,3.49,2.56,0.733
L2,whisper,white_5dB/heavy/con_011_pro_011.wav,你没有多两个小时两个小时十点,4.21,0.89,0.211
L2,whisper,white_5dB/light/con_001_pro_001.wav,它让你在那个时间段拥有的比方是药那它是怎么环节我们的东西的,5.94,1.11,0.187
L2,whisper,white_5dB/light/con_002_pro_002.wav,打发这个机器是一个刷抖音的机器没问题没问题听不着,3.83,1.05,0.275
L2,whisper,white_5dB/light/con_003_pro_003.wav,因为有一个前提性的问题没有好,3.91,0.77,0.196
L2,whisper,white_5dB/light/con_004_pro_004.wav,人们在讲的熬夜所谓的熬夜就是晚睡晚醒,5.79,0.97,0.167
L2,whisper,white_5dB/light/con_005_pro_005.wav,我先表晚睡晚醒,3.83,0.63,0.165
L2,whisper,white_5dB/light/con_006_pro_006.wav,哇 没问题既然你是晚睡晚起,3.60,0.80,0.223
L2,whisper,white_5dB/light/con_007_pro_007.wav,因为你可以早睡早起上班的时间一定有啊,3.67,0.82,0.223
L2,whisper,white_5dB/light/con_008_pro_008.wav,因为你可以为了身体健康因为下半段时间一定结完,3.73,0.88,0.235
L2,whisper,white_5dB/light/con_009_pro_009.wav,那你个人的生活空间毕竟也就这么紧,4.23,0.84,0.198
L2,whisper,white_5dB/light/con_010_pro_010.wav,哦 不太一致 我可以一致地做自己,4.69,0.81,0.174
L2,whisper,white_5dB/light/con_011_pro_011.wav,你没有多两个小时但是你自己是不是一样的吗我意思是两点睡十点起,5.71,1.07,0.188
L2,whisper,white_5dB/no/con_001_pro_001.wav,它让你在那个时间段拥有了自己乙方是一样那它是怎么环节我们的空气呢,6.87,1.18,0.172
L2,whisper,white_5dB/no/con_002_pro_002.wav,打卡给的字体是一个刷抖音的字体没问题没问题先不着急,4.22,0.90,0.212
L2,whisper,white_5dB/no/con_003_pro_003.wav,我幫你再抽一下因為有一個前提性的問題沒有討論,4.48,0.89,0.200
L2,whisper,white_5dB/no/con_004_pro_004.wav,是在讲的熬夜所谓的熬夜就是晚睡晚醒,6.35,0.84,0.132
L2,whisper,white_5dB/no/con_005_pro_005.wav,我觉得晚睡晚起好我先表晚睡晚起,4.48,0.76,0.169
L2,whisper,white_5dB/no/con_006_pro_006.wav,既然你是晚睡晚起,4.22,0.70,0.165
L2,whisper,white_5dB/no/con_007_pro_007.wav,因为你可以早睡早起你上班的时间比订阅晚,4.14,0.89,0.216
L2,whisper,white_5dB/no/con_008_pro_008.wav,因為你可以為了身體健康下班的時間一定絕望,4.22,0.89,0.211
L2,whisper,white_5dB/no/con_009_pro_009.wav,两年对那你个人的生活空间一定也就这么低,4.65,0.96,0.206
L2,whisper,white_5dB/no/con_010_pro_010.wav,哦 不太一致你是怎么多出额外的时间来做出,5.42,0.96,0.178
L2,whisper,white_5dB/no/con_011_pro_011.wav,你没有多两个小时但是你自己我给你解释我的意思是两点睡十点起,6.61,1.35,0.204
L3,whisper,babble_0dB/heavy/con_001_pro_001_spk1.wav,中文字幕志愿者 杨茜茜,4.39,0.98,0.222
L3,whisper,babble_0dB/heavy/con_001_pro_001_spk2.wav,感谢观看,4.39,0.46,0.104
L3,whisper,babble_0dB/heavy/con_002_pro_002_spk1.wav,MING PAO CANADA // MING PAO TORONTO,3.18,0.64,0.201
L3,whisper,babble_0dB/heavy/con_002_pro_002_spk2.wav,,3.18,0.45,0.140
L3,whisper,babble_0dB/heavy/con_003_pro_003_spk1.wav,,2.96,0.51,0.172
L3,whisper,babble_0dB/heavy/con_003_pro_003_spk2.wav,好好好好好好好好好好,2.96,1.02,0.343
L3,whisper,babble_0dB/heavy/con_004_pro_004_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.84,0.90,0.187
L3,whisper,babble_0dB/heavy/con_004_pro_004_spk2.wav,请不吝点赞订阅订阅,4.84,0.63,0.131
L3,whisper,babble_0dB/heavy/con_005_pro_005_spk1.wav,感谢观看,2.75,0.47,0.172
L3,whisper,babble_0dB/heavy/con_005_pro_005_spk2.wav,中文字幕志愿者 杨茜茜,2.75,0.63,0.230
L3,whisper,babble_0dB/heavy/con_006_pro_006_spk1.wav,感谢您的观看,2.57,0.50,0.193
L3,whisper,babble_0dB/heavy/con_006_pro_006_spk2.wav,感谢您的观看,2.57,0.50,0.195
L3,whisper,babble_0dB/heavy/con_007_pro_007_spk1.wav,中文字幕志愿者 李宗盛,2.89,0.61,0.211
L3,whisper,babble_0dB/heavy/con_007_pro_007_spk2.wav,字幕志愿者 杨茜茜,2.89,0.63,0.217
L3,whisper,babble_0dB/heavy/con_008_pro_008_spk1.wav,请不吝点赞订阅订阅,2.91,0.65,0.223
L3,whisper,babble_0dB/heavy/con_008_pro_008_spk2.wav,请不吝点赞订阅订阅,2.91,0.63,0.216
L3,whisper,babble_0dB/heavy/con_009_pro_009_spk1.wav,中文字幕志愿者 杨茜茜,3.54,0.65,0.183
L3,whisper,babble_0dB/heavy/con_009_pro_009_spk2.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,3.54,0.90,0.253
L3,whisper,babble_0dB/heavy/con_010_pro_010_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,3.49,0.90,0.259
L3,whisper,babble_0dB/heavy/con_010_pro_010_spk2.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,3.49,0.92,0.263
L3,whisper,babble_0dB/heavy/con_011_pro_011_spk1.wav,感谢您的观看,4.21,0.50,0.118
L3,whisper,babble_0dB/heavy/con_011_pro_011_spk2.wav,中文字幕志愿者 李宗盛,4.21,0.60,0.143
L3,whisper,babble_0dB/light/con_001_pro_001_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,5.94,0.90,0.151
L3,whisper,babble_0dB/light/con_001_pro_001_spk2.wav,中文字幕志愿者 杨茜茜,5.94,0.64,0.108
L3,whisper,babble_0dB/light/con_002_pro_002_spk1.wav,,3.83,0.46,0.119
L3,whisper,babble_0dB/light/con_002_pro_002_spk2.wav,感谢您的观看,3.83,0.50,0.129
L3,whisper,babble_0dB/light/con_003_pro_003_spk1.wav,MING PAO CANADA // MING PAO TORONTO,3.91,0.63,0.162
L3,whisper,babble_0dB/light/con_003_pro_003_spk2.wav,感谢您的观看,3.91,0.49,0.124
L3,whisper,babble_0dB/light/con_004_pro_004_spk1.wav,优优独播剧场——YoYo Television Series Exclusive,5.79,0.67,0.115
L3,whisper,babble_0dB/light/con_004_pro_004_spk2.wav,中文字幕志愿者 杨茜茜,5.79,0.63,0.109
L3,whisper,babble_0dB/light/con_005_pro_005_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,3.83,0.93,0.244
L3,whisper,babble_0dB/light/con_005_pro_005_spk2.wav,优优独播剧场——YoYo Television Series Exclusive,3.83,0.69,0.180
L3,whisper,babble_0dB/light/con_006_pro_006_spk1.wav,MING PAO CANADA // MING PAO TORONTO,3.60,0.62,0.173
L3,whisper,babble_0dB/light/con_006_pro_006_spk2.wav,谢谢大家,3.60,0.47,0.132
L3,whisper,babble_0dB/light/con_007_pro_007_spk1.wav,感谢观看,3.67,0.56,0.152
L3,whisper,babble_0dB/light/con_007_pro_007_spk2.wav,中文字幕志愿者 李宗盛,3.67,0.71,0.193
L3,whisper,babble_0dB/light/con_008_pro_008_spk1.wav,,3.73,0.47,0.125
L3,whisper,babble_0dB/light/con_008_pro_008_spk2.wav,,3.73,0.47,0.126
L3,whisper,babble_0dB/light/con_009_pro_009_spk1.wav,中文字幕志愿者 杨茜茜,4.23,0.72,0.171
L3,whisper,babble_0dB/light/con_009_pro_009_spk2.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.23,1.11,0.262
L3,whisper,babble_0dB/light/con_010_pro_010_spk1.wav,我们下期节目再见,4.69,0.54,0.116
L3,whisper,babble_0dB/light/con_010_pro_010_spk2.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.69,1.06,0.226
L3,whisper,babble_0dB/light/con_011_pro_011_spk1.wav,中文字幕志愿者 李宗盛,5.71,0.74,0.130
L3,whisper,babble_0dB/light/con_011_pro_011_spk2.wav,感谢观看,5.71,0.54,0.094
L3,whisper,babble_0dB/no/con_001_pro_001_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,6.87,1.16,0.169
L3,whisper,babble_0dB/no/con_001_pro_001_spk2.wav,优优独播剧场——YoYo Television Series Exclusive,6.87,0.87,0.127
L3,whisper,babble_0dB/no/con_002_pro_002_spk1.wav,中文字幕志愿者 杨茜茜,4.22,0.80,0.189
L3,whisper,babble_0dB/no/con_002_pro_002_spk2.wav,明镜需要您的支持 欢迎订阅明镜,4.22,0.78,0.185
L3,whisper,babble_0dB/no/con_003_pro_003_spk1.wav,因为有一个前期没有讨论,4.48,0.64,0.144
L3,whisper,babble_0dB/no/con_003_pro_003_spk2.wav,感谢您的观看,4.48,0.58,0.129
L3,whisper,babble_0dB/no/con_004_pro_004_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,6.35,1.06,0.166
L3,whisper,babble_0dB/no/con_004_pro_004_spk2.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,6.35,1.20,0.189
L3,whisper,babble_0dB/no/con_005_pro_005_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.48,1.04,0.233
L3,whisper,babble_0dB/no/con_005_pro_005_spk2.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.48,1.12,0.249
L3,whisper,babble_0dB/no/con_006_pro_006_spk1.wav,优优独播剧场——YoYo Television Series Exclusive,4.22,0.81,0.191
L3,whisper,babble_0dB/no/con_006_pro_006_spk2.wav,感谢您的观看,4.22,0.56,0.133
L3,whisper,babble_0dB/no/con_007_pro_007_spk1.wav,中文字幕志愿者 杨茜茜,4.14,0.74,0.180
L3,whisper,babble_0dB/no/con_007_pro_007_spk2.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.14,1.10,0.266
L3,whisper,babble_0dB/no/con_008_pro_008_spk1.wav,感谢观看,4.22,0.51,0.120
L3,whisper,babble_0dB/no/con_008_pro_008_spk2.wav,请勿模仿,4.22,0.53,0.126
L3,whisper,babble_0dB/no/con_009_pro_009_spk1.wav,中文字幕志愿者 杨茜茜,4.65,0.87,0.187
L3,whisper,babble_0dB/no/con_009_pro_009_spk2.wav,感谢观看,4.65,0.51,0.110
L3,whisper,babble_0dB/no/con_010_pro_010_spk1.wav,感谢观看,5.42,0.51,0.093
L3,whisper,babble_0dB/no/con_010_pro_010_spk2.wav,中文字幕志愿者 杨茜茜,5.42,0.77,0.143
L3,whisper,babble_0dB/no/con_011_pro_011_spk1.wav,MING PAO CANADA // MING PAO TORONTO,6.61,0.80,0.122
L3,whisper,babble_0dB/no/con_011_pro_011_spk2.wav,MING PAO CANADA // MING PAO TORONTO,6.61,0.76,0.116
L3,whisper,babble_5dB/heavy/con_001_pro_001_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.39,1.13,0.258
L3,whisper,babble_5dB/heavy/con_001_pro_001_spk2.wav,他让命在那里你当时要问他多远别问了,4.39,1.03,0.235
L3,whisper,babble_5dB/heavy/con_002_pro_002_spk1.wav,感谢您的观看,3.18,0.56,0.175
L3,whisper,babble_5dB/heavy/con_002_pro_002_spk2.wav,,3.18,0.81,0.255
L3,whisper,babble_5dB/heavy/con_003_pro_003_spk1.wav,因為有一個SCC的問題沒有討論,2.96,0.77,0.260
L3,whisper,babble_5dB/heavy/con_003_pro_003_spk2.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,2.96,1.10,0.370
L3,whisper,babble_5dB/heavy/con_004_pro_004_spk1.wav,感谢观看,4.84,0.55,0.114
L3,whisper,babble_5dB/heavy/con_004_pro_004_spk2.wav,感谢观看,4.84,0.55,0.115
L3,whisper,babble_5dB/heavy/con_005_pro_005_spk1.wav,我们下期再见,2.75,0.53,0.192
L3,whisper,babble_5dB/heavy/con_005_pro_005_spk2.wav,我们也都要问我们也都要问,2.75,0.70,0.256
L3,whisper,babble_5dB/heavy/con_006_pro_006_spk1.wav,,2.57,0.46,0.178
L3,whisper,babble_5dB/heavy/con_006_pro_006_spk2.wav,我们下期再见,2.57,0.48,0.188
L3,whisper,babble_5dB/heavy/con_007_pro_007_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,2.89,1.15,0.399
L3,whisper,babble_5dB/heavy/con_007_pro_007_spk2.wav,因為你可以跑上班的時間一定也歪,2.89,0.67,0.231
L3,whisper,babble_5dB/heavy/con_008_pro_008_spk1.wav,,2.91,0.51,0.174
L3,whisper,babble_5dB/heavy/con_008_pro_008_spk2.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,2.91,1.08,0.370
L3,whisper,babble_5dB/heavy/con_009_pro_009_spk1.wav,你個人的擁護空間 畢竟也就這麼多,3.54,0.81,0.230
L3,whisper,babble_5dB/heavy/con_009_pro_009_spk2.wav,谢谢大家,3.54,0.48,0.136
L3,whisper,babble_5dB/heavy/con_010_pro_010_spk1.wav,感谢观看,3.49,0.55,0.158
L3,whisper,babble_5dB/heavy/con_010_pro_010_spk2.wav,中文字幕志愿者 杨茜茜,3.49,0.71,0.204
L3,whisper,babble_5dB/heavy/con_011_pro_011_spk1.wav,感谢观看,4.21,0.53,0.126
L3,whisper,babble_5dB/heavy/con_011_pro_011_spk2.wav,中文字幕志愿者 杨茜茜,4.21,0.78,0.185
L3,whisper,babble_5dB/light/con_001_pro_001_spk1.wav,请勿模仿,5.94,0.55,0.093
L3,whisper,babble_5dB/light/con_001_pro_001_spk2.wav,是让你在内部这一段拥有你当时要那他就能保护还是我们能保护,5.94,1.33,0.225
L3,whisper,babble_5dB/light/con_002_pro_002_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,3.83,1.18,0.307
L3,whisper,babble_5dB/light/con_002_pro_002_spk2.wav,没问题没问题听不着,3.83,0.67,0.175
L3,whisper,babble_5dB/light/con_003_pro_003_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,3.91,1.18,0.303
L3,whisper,babble_5dB/light/con_003_pro_003_spk2.wav,因为有一个钱心的问题没有好,3.91,0.64,0.163
L3,whisper,babble_5dB/light/con_004_pro_004_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,5.79,1.09,0.188
L3,whisper,babble_5dB/light/con_004_pro_004_spk2.wav,朱洛芬没有在讲的熬夜所谓的熬夜就是晚睡晚睡,5.79,1.25,0.215
L3,whisper,babble_5dB/light/con_005_pro_005_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,3.83,1.14,0.296
L3,whisper,babble_5dB/light/con_005_pro_005_spk2.wav,我都覺得晚睡晚寢也不要晚睡晚寢,3.83,0.80,0.208
L3,whisper,babble_5dB/light/con_006_pro_006_spk1.wav,感谢观看,3.60,0.52,0.145
L3,whisper,babble_5dB/light/con_006_pro_006_spk2.wav,哇 睡脑子也很厉害没问题 千万千万,3.60,0.82,0.227
L3,whisper,babble_5dB/light/con_007_pro_007_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,3.67,1.08,0.293
L3,whisper,babble_5dB/light/con_007_pro_007_spk2.wav,因为你可以早睡早饭上班里别管,3.67,0.81,0.220
L3,whisper,babble_5dB/light/con_008_pro_008_spk1.wav,感谢观看,3.73,0.54,0.146
L3,whisper,babble_5dB/light/con_008_pro_008_spk2.wav,感谢观看,3.73,0.49,0.131
L3,whisper,babble_5dB/light/con_009_pro_009_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.23,1.15,0.271
L3,whisper,babble_5dB/light/con_009_pro_009_spk2.wav,个人的生活空间毕竟也就这么近,4.23,0.77,0.181
L3,whisper,babble_5dB/light/con_010_pro_010_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.69,1.18,0.252
L3,whisper,babble_5dB/light/con_010_pro_010_spk2.wav,感谢您的观看,4.69,0.58,0.123
L3,whisper,babble_5dB/light/con_011_pro_011_spk1.wav,感谢观看,5.71,0.50,0.087
L3,whisper,babble_5dB/light/con_011_pro_011_spk2.wav,你没有多想但是你别说你为什么不说你为什么不说你为什么不说你为什么不说,5.71,1.33,0.233
L3,whisper,babble_5dB/no/con_001_pro_001_spk1.wav,字幕志愿者 杨茜茜,6.87,0.74,0.107
L3,whisper,babble_5dB/no/con_001_pro_001_spk2.wav,它让你在那个时间段拥有以防是要那它是怎么环节我们都知道,6.87,1.23,0.179
L3,whisper,babble_5dB/no/con_002_pro_002_spk1.wav,感谢观看,4.22,0.58,0.138
L3,whisper,babble_5dB/no/con_002_pro_002_spk2.wav,请勿模仿,4.22,0.60,0.142
L3,whisper,babble_5dB/no/con_003_pro_003_spk1.wav,因为有一个前提性的问题没有讨论,4.48,0.61,0.137
L3,whisper,babble_5dB/no/con_003_pro_003_spk2.wav,中文字幕志愿者 李宗盛,4.48,0.76,0.170
L3,whisper,babble_5dB/no/con_004_pro_004_spk1.wav,中文字幕志愿者 杨茜茜,6.35,0.82,0.129
L3,whisper,babble_5dB/no/con_004_pro_004_spk2.wav,现在讲的熬夜所谓的熬夜就是晚睡,6.35,0.89,0.140
L3,whisper,babble_5dB/no/con_005_pro_005_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.48,0.90,0.202
L3,whisper,babble_5dB/no/con_005_pro_005_spk2.wav,學到晚睡晚睡我先聊晚睡晚睡,4.48,0.83,0.186
L3,whisper,babble_5dB/no/con_006_pro_006_spk1.wav,感谢观看,4.22,0.54,0.129
L3,whisper,babble_5dB/no/con_006_pro_006_spk2.wav,晚睡早起也上午夜了这就是晚睡晚起,4.22,0.89,0.210
L3,whisper,babble_5dB/no/con_007_pro_007_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.14,1.19,0.288
L3,whisper,babble_5dB/no/con_007_pro_007_spk2.wav,因为你可以等税等不及你让我们班的女人避免留我,4.14,1.03,0.249
L3,whisper,babble_5dB/no/con_008_pro_008_spk1.wav,中文字幕志愿者 杨茜茜,4.22,0.76,0.181
L3,whisper,babble_5dB/no/con_008_pro_008_spk2.wav,明镜需要您的支持 欢迎订阅明镜,4.22,0.79,0.187
L3,whisper,babble_5dB/no/con_009_pro_009_spk1.wav,感谢观看,4.65,0.48,0.103
L3,whisper,babble_5dB/no/con_009_pro_009_spk2.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.65,1.22,0.263
L3,whisper,babble_5dB/no/con_010_pro_010_spk1.wav,感谢您的观看,5.42,0.61,0.113
L3,whisper,babble_5dB/no/con_010_pro_010_spk2.wav,不太一致我可以给你多说一句你怎么能够从国外的世界来做一个这种,5.42,1.29,0.238
L3,whisper,babble_5dB/no/con_011_pro_011_spk1.wav,字幕志愿者 杨茜茜,6.61,0.62,0.094
L3,whisper,babble_5dB/no/con_011_pro_011_spk2.wav,没有多两个小时两点,6.61,0.69,0.105
L3,whisper,clean/heavy/con_001_pro_001_spk1.wav,它让你在那个时间状态它是永远的解我们的空虚的,4.39,0.99,0.224
